Place,Latitude,Longitude
Asan,27.71,85.31
Alok Nagar,27.685509,85.3422084
Anamnagar,27.6928489,85.3284387
Babarmahal,27.6932347,85.3247236
Bagbazar,28.2385825,83.9861789
Bafal,27.7017723,85.2879742
Balaju,27.7270434,85.30459
Balkhu,27.6849927,85.29786
Balkumari,27.7071075,85.311633
Badegaun,27.6,85.4
Banasthali,27.7249402,85.2977635
Bansbari,27.813429,85.556992
Bansghari,27.6254337,85.5465479
Basantapur,27.0842102,84.7392618
Basundhara,27.7422381,85.3326175
Battisputali,27.7056762,85.3415089
Bhaisepati,27.6561677,85.3060365
Bhaktapur,27.704332,85.452118
Bhaktapur Durbar Square,27.672078,85.4281306
Bhimsengola,27.6998367,85.3443133
Bijulibazar,27.6917299,85.3291893
Boudha,27.7204977,85.3604163
Bouddha,27.7204764,85.3650485
Buddhanagar,27.69,85.33
Budhanilkantha,27.7781261,85.3623412
Bus Park,27.5779973,85.3096857
Chabahil,27.7171756,85.346661
Chakrapath,27.706112,85.345665
Chandragiri,27.6928184,85.2247831
Chapagaun,28.9778427,81.5971836
Chhetrapati,27.7112071,85.3086148
Chobhar,27.6660412,85.2912665
Dahachowk,27.7027904,85.2358779
Dallu,27.7108961,85.2959955
Dhapasi,27.7451935,85.3291194
Dhumbarahi,27.7317,85.3444
Dhungedhara,27.7234503,85.2945917
Dillibazar,27.7054629,85.3275306
Durbar Marga,27.7092422,85.3176651
Dhumbarahi,27.7250256,85.34074
Ekantakuna,27.6666354,85.3083104
Gaushala,26.9406233,85.7774493
Ghattekulo,27.7017349,85.3282797
Gokarna,27.7375111,85.3857936
Gokarneshwor,27.7375111,85.3857936
Golfutar,27.7766586,85.3620525
Gongabu,27.7350285,85.3145453
Gothatar,27.6927881,85.3712973
Godawari,27.5812413,85.3393152
Gyaneswor,27.7092432,85.3326995
Halchok,27.72654,85.27578
Handigaun,27.7177403,85.3360253
Hanumansthan,27.6933054,85.3275196
Hattigauda,27.213442,85.9776263
Hattiban,27.8195809,84.9675388
Hattisar,28.1385884,82.4551526
Ichangu,27.720057,85.2848721
Imadol,27.666822,85.344299
Jadibuti,27.6753786,85.3515761
Jagati Chowk,28.172465,84.0166785
Jamal,27.7090068,85.316004
Jawalakhel,27.6724402,85.3133757
Jorpati,27.0560657,87.3678906
Kalanki,27.6932983,85.2816525
Kalimati,28.2966654,81.9619629
Kalopul,27.6926044,85.3043863
Kamal Pokhari,28.3618847,82.8541844
Kamaladi,27.7080677,85.3192685
Kamalpokhari,27.7101558,85.3239957
Kapan,27.7342051,85.3573186
Karyabinayak,27.6347706,85.3022984
Kirtipur,27.676664,85.2782438
Kopan,27.7422025,85.3638786
Koteshwor,27.6755461,85.3383181
Kumaripati,27.6705227,85.3207195
Kupondole,27.6853612,85.3184277
Kuleshwor,28.1836913,83.9900378
Lagankhel,27.6657239,85.323804
Lainchaur,28.9112117,81.5648654
Lalitpur,27.6765635,85.3166069
Lamatar,27.632965,85.390015
Lazimpat,27.7215082,85.3207646
Lele,27.571532,85.3332234
Lokanthali,27.6746968,85.3607071
Machhapokhari,27.7352873,85.3058242
Mahankal,27.4758613,85.3923012
Maharajgunj,27.5369787,82.9388859
Maitidevi,27.7051196,85.3335568
Maitighar,27.6943461,85.3198448
Matatirtha,27.6799642,85.2317773
Mid Baneshwor,27.69765,85.33606
Minbhawan,27.6852473,85.3380108
Mulkharka,27.7798781,85.4318101
Nagarjun,27.6992858,85.2733179
Nagarkot,27.718508,85.51973
Nagdhunga,27.7066036,85.2055865
Nakkhu,27.6579264,85.3103825
Nala,27.6650727,85.4857964
Narayanhiti,27.7156,85.32
Narayanthan,27.8893795,85.9296824
Naxal,27.7126782,85.3287033
Nayabazar,27.6762248,85.2808347
New Baneshwor,27.6899076,85.3356591
New Plaza,27.7025287,85.3232028
New Road,27.7033426,85.311509
Old Baneshwor,27.6906226,85.3359713
Patan,27.6765635,85.3166069
Pepsicola,27.6887901,85.3667416
Phulchowki,27.6006817,85.3682421
Pulchowk,27.6760817,85.3157065
Putalisadak,27.6553907,83.4610794
Radhe Radhe,27.6752666,85.3979619
Ramkot,27.9468823,84.363818
Ratna Park,27.7064893,85.314516
Ratnapark,27.2223345,86.7892563
Sainbu,27.64933,85.3035881
Sallaghari,27.3875155,85.0664124
Samakhusi,27.7354232,85.3221368
Sanepa,27.6837719,85.309353
Sanga,27.64216,85.47774
Satdobato,28.0036486,85.1638055
Shantinagar,27.69152,85.342049
Shivapuri,27.8537992,85.3674552
Sinamangal,27.6991844,85.3504227
Siphal,27.7113626,85.3409553
Sitapaila,27.7072377,85.2825515
Sorakhutte,27.71819,85.3096666
Sunakothi,27.6330244,85.3180181
Sundhara,27.700077,85.3129846
Sundarijal,27.758005,85.419189
Suryabinayak,27.658411,85.41501
Swayambhu,27.7161935,85.2838241
Tahachal,27.699758,85.2941587
Teku,27.6975071,85.3038514
Thamel,27.717028,85.311256
Thankot,28.498421,82.4928478
Thapathali,27.6915948,85.3201449
Thapagaun,29.2419706,82.0137061
Thimi,27.6732593,85.3864013
Tikabhairab,27.57467,85.31286
Tinkune,28.6085873,81.5931609
Tokha,27.75,85.333333
Tripureshwor,27.692602,85.3145333
